score_expedia,reviews_expedia,star_rating_expedia,location_rating_expedia,km_from_center_expedia,Free_cancellation_expedia,Breakfast_expedia,score_booking,reviews_booking,star_rating_booking,location_rating_booking,km_from_center_booking,Free_cancellation_booking,Breakfast_booking,score_diff,reviews_diff,star_rating_diff,location_rating_diff,km_diff,cancellation_diff,breakfast_diff,Index,index
9.09,3172.0,3.0,9.306447036569988,1.8,0.0,0.0,8.1,4308.0,3.0,9.335996215193298,1.8,0.0,0.0,-0.9900000000000002,1136.0,0.0,0.004939580286320299,0.0,0.0,0.0,66.0,150.0
8.88,381.0,4.0,9.322012578616352,7.6,1.0,0.0,8.2,1077.0,4.0,9.335996215193298,7.6,0.0,0.0,-0.6800000000000015,696.0,0.0,0.004939580286320299,0.0,-1.0,0.0,89.0,52.0
8.787778736517721,3608.0,4.0,9.322012578616352,0.4,1.0,0.0,6.8,4520.0,4.0,9.335996215193298,0.4,0.0,0.0,-1.987778736517721,912.0,0.0,0.004939580286320299,0.0,-1.0,0.0,4.0,77.0
8.08,1006.0,3.0,9.306447036569988,3.4,0.0,0.0,6.7,1089.0,3.0,9.335996215193298,3.4,0.0,0.0,-1.38,83.0,0.0,0.004939580286320299,0.0,0.0,0.0,7.0,24.0
8.74974922398301,1000.0,4.0,9.306447036569988,7.3,1.0,0.0,7.9,1190.0,4.0,9.335996215193298,7.3,1.0,0.0,-0.8497492239830091,190.0,0.0,0.004939580286320299,0.0,0.0,0.0,224.0,44.0
8.08,1492.0,4.0,9.322012578616352,1.7,1.0,0.0,7.6,21687.0,4.0,9.335996215193298,1.7,1.0,1.0,-0.4800000000000004,20195.0,0.0,0.004939580286320299,0.0,0.0,1.0,33.0,165.0
8.68,1002.0,4.0,9.322012578616352,2.5,1.0,0.0,7.9,3844.0,4.0,9.335996215193298,2.5,1.0,0.0,-0.7799999999999994,2842.0,0.0,0.004939580286320299,0.0,0.0,0.0,195.0,116.0
8.68,1727.0,4.0,9.445408500330323,9.8,1.0,0.0,8.0,1325.0,4.0,9.335996215193298,9.8,1.0,0.0,-0.6799999999999997,-402.0,0.0,0.004939580286320299,0.0,0.0,0.0,63.0,17.0
8.88,549.0,3.0,9.306447036569988,7.2,1.0,0.0,7.8,2625.0,3.0,9.335996215193298,7.2,1.0,0.0,-1.080000000000001,2076.0,0.0,0.004939580286320299,0.0,0.0,0.0,150.0,67.0
9.09,669.0,3.0,9.3,2.5,0.0,0.0,8.3,1417.0,3.0,9.3,2.5,0.0,0.0,-0.7899999999999991,748.0,0.0,0.0,0.0,0.0,0.0,141.0,96.0
8.74974922398301,1000.0,4.0,9.306447036569988,2.7,0.0,0.0,7.0,4483.0,4.0,9.335996215193298,2.7,0.0,0.0,-1.7497492239830095,3483.0,0.0,0.004939580286320299,0.0,0.0,0.0,92.0,63.0
9.09,669.0,3.0,9.3,2.5,0.0,0.0,8.3,1417.0,3.0,9.3,2.5,0.0,0.0,-0.7899999999999991,748.0,0.0,0.0,0.0,0.0,0.0,91.0,61.0
8.28,1018.0,4.0,9.4,7.1,0.0,0.0,7.9,8398.0,4.0,9.4,7.1,0.0,0.0,-0.379999999999999,7380.0,0.0,0.0,0.0,0.0,0.0,36.0,101.0
8.68,638.0,4.0,9.306447036569988,5.8,1.0,0.0,8.0,1708.0,4.0,9.335996215193298,5.8,1.0,0.0,-0.6799999999999997,1070.0,0.0,0.004939580286320299,0.0,0.0,0.0,114.0,98.0
8.74974922398301,501.0,4.0,9.4,1.0,1.0,0.0,7.5,714.0,4.0,9.4,1.0,0.0,0.0,-1.2497492239830095,213.0,0.0,0.0,0.0,-1.0,0.0,159.0,119.0
8.88,1530.0,3.0,9.4,2.1,1.0,0.0,8.1,11716.0,3.0,9.4,2.1,1.0,0.0,-0.7800000000000011,10186.0,0.0,0.0,0.0,0.0,0.0,57.0,23.0
